link,product_name,image,origin,price,unit_price,vegetable_name,distance,category,agriculture,transformation,packaging,transport,distribution,consommation,carbon_footprint,bio,rank,transport_color
https://www.carrefour.fr/p/avocat-bio-carrefour-bio-3523680466173?t=1892, Avocat Bio  BIO ,https://media.carrefour.fr/medias/c7d433b8d8b4375c9e3ccee8c25cce5b/p_200x200/3523680466173-0.jpg,Espagne," 1,69 ", 1.69 € / U ,Avocat,976.28,"Avocat, pulpe, cru",0.86139181,0.0,0.0,0.46369755,0.017811293,0.13756958,1.480470233,True,1.0,green
https://www.carrefour.fr/p/avocat-hass-bio-3523680432437?t=1892, Avocat Hass Bio ,https://media.carrefour.fr/medias/fbf517249c3639e1bfbe72a8e127e652/p_200x200/3523680432437-photosite-20211018-132953-0.jpg,Espagne," 1,69 ", 1.69 € / U ,Avocat,976.28,"Avocat, pulpe, cru",0.86139181,0.0,0.0,0.46369755,0.017811293,0.13756958,1.480470233,True,1.0,green
https://www.carrefour.fr/p/avocat-3000001037576?t=1892, Avocat ,https://media.carrefour.fr/medias/5e7a6105d1ec394999f942fd8003aa4f/p_200x200/3000001037576-photosite-20180614-161156-0.jpg,Israel," 1,19 ", 1.19 € / U ,Avocat,3324.76,"Avocat, pulpe, cru",0.86139181,0.0,0.0,0.46369755,0.017811293,0.13756958,1.480470233,False,2.0,jaune
https://www.carrefour.fr/p/asperges-violette-bio-carrefour-bio-3523680426184?t=1892, Asperges violette Bio  BIO ,https://media.carrefour.fr/medias/fdea62a7ce863ec68fe8ba90f0464f7a/p_200x200/3523680426184-0.jpg,France," 6,99 ", 13.98 € / KG ,Asperge,0.0,"Asperge, appertisée, égouttée",0.53228896,0.20304948,0.17182762,0.23094515,0.015811623,0.0,1.153922833,True,1.0,green
https://www.carrefour.fr/p/asperges-verte-bio-carrefour-bio-3523680426191?t=1892, Asperges verte Bio  BIO ,https://media.carrefour.fr/medias/12c2e494c77c3c7992145e1f31500f18/p_200x200/3523680426191-photosite-20191025-131800-0.jpg,France," 6,99 ", 17.48 € / KG ,Asperge,0.0,"Asperge, appertisée, égouttée",0.53228896,0.20304948,0.17182762,0.23094515,0.015811623,0.0,1.153922833,True,1.0,green
https://www.carrefour.fr/p/asperges-moyennes-violettes-vrac-3000000037171?t=1892, Asperges moyennes violettes vrac ,https://media.carrefour.fr/medias/97fa78321ec7394090e94da20c0f7fe1/p_200x200/3000000037171-0.jpg,France," 15,99 ", 15.99 € / KG ,Asperge,0.0,"Asperge, appertisée, égouttée",0.53228896,0.20304948,0.17182762,0.23094515,0.015811623,0.0,1.153922833,False,1.0,green
https://www.carrefour.fr/p/asperges-violettes-3000054047393?t=1892, Asperges violettes ,https://media.carrefour.fr/medias/a8af0ea8d0a83b7694f5c12b91a79766/p_200x200/3000054047393-photosite-20140416-174852-0.jpg,France," 5,90 ", 11.80 € / KG ,Asperge,0.0,"Asperge, appertisée, égouttée",0.53228896,0.20304948,0.17182762,0.23094515,0.015811623,0.0,1.153922833,False,1.0,green
https://www.carrefour.fr/p/asperges-vertes-3276554553539?t=1892, Asperges vertes ,https://media.carrefour.fr/medias/df0f42ae86353cd38415db9e481ab6ab/p_200x200/3276554553539-photosite-20140725-121818-0.jpg,France," 5,99 ", 11.98 € / KG ,Asperge,0.0,"Asperge, appertisée, égouttée",0.53228896,0.20304948,0.17182762,0.23094515,0.015811623,0.0,1.153922833,False,1.0,green
https://www.carrefour.fr/p/asperges-moyennes-vertes-3276554554598?t=1892, Asperges moyennes vertes ,https://media.carrefour.fr/medias/4fb2c34bdf363817b3801e65665f4c30/p_200x200/3276554554598-photosite-20140327-210631-0.jpg,Espagne," 3,00 ", 6.00 € / KG ,Asperge,976.28,"Asperge, appertisée, égouttée",0.53228896,0.20304948,0.17182762,0.23094515,0.015811623,0.0,1.153922833,False,2.0,jaune
https://www.carrefour.fr/p/asperges-blanches-ou-violettes-3276558063089?t=1892, Asperges blanches ou violettes ,https://media.carrefour.fr/medias/c05a037f66133d3a874ba52fb70c6cd9/p_200x200/3276558063089-photosite-20150616-083249-0.jpg,France," 3,00 ", 6.00 € / KG ,Asperge,0.0,"Asperge, appertisée, égouttée",0.53228896,0.20304948,0.17182762,0.23094515,0.015811623,0.0,1.153922833,False,1.0,green
https://www.carrefour.fr/p/asperges-pointes-vertes-3276559597507?t=1892, Asperges pointes vertes ,https://media.carrefour.fr/medias/0674eac685be3f3f84b617852b097284/p_200x200/3276559597507-photosite-20150616-083316-0.jpg,Perou," 5,99 ", 29.95 € / KG ,Asperge,9573.58,"Asperge, appertisée, égouttée",0.53228896,0.20304948,0.17182762,0.23094515,0.015811623,0.0,1.153922833,False,3.0,orange
https://www.carrefour.fr/p/asperge-verte-reflet-de-france-3523680365179?t=1892, Asperge verte REFLET DE FRANCE ,https://media.carrefour.fr/medias/7c666346afd23214a4e183ded6073862/p_200x200/3523680365179-photosite-20210720-183946-0.jpg,France," 5,99 ", 11.98 € / KG ,Asperge,0.0,"Asperge, appertisée, égouttée",0.53228896,0.20304948,0.17182762,0.23094515,0.015811623,0.0,1.153922833,False,1.0,green
https://www.carrefour.fr/p/asperge-3276550184256?t=1892, Asperge ,https://media.carrefour.fr/medias/7d4cb44fd8e5382688ac603c7f5f1c90/p_200x200/3276550184256-0.jpg,France," 3,00 ", 6.00 € / KG ,Asperge,0.0,"Asperge, appertisée, égouttée",0.53228896,0.20304948,0.17182762,0.23094515,0.015811623,0.0,1.153922833,False,1.0,green
https://www.carrefour.fr/p/asperge-blanc-violet-vrac-bio-3276552719340?t=1892, Asperge blanc violet vrac Bio ,https://media.carrefour.fr/medias/f018873a997c3e24bd9d1e4b484b289f/p_200x200/3276552719340-photosite-20200918-172643-0.jpg,France," 9,99 ", 9.99 € / KG ,Asperge,0.0,"Asperge, appertisée, égouttée",0.53228896,0.20304948,0.17182762,0.23094515,0.015811623,0.0,1.153922833,True,1.0,green
https://www.carrefour.fr/p/asperges-vertes-bio-3523680426092?t=1892, Asperges vertes Bio ,https://media.carrefour.fr/medias/cba74724880c3dce9b07bca21b17c1c8/p_200x200/3523680426092-photosite-20190828-051113-0.jpg,France," 7,49 ", 14.98 € / KG ,Asperge,0.0,"Asperge, appertisée, égouttée",0.53228896,0.20304948,0.17182762,0.23094515,0.015811623,0.0,1.153922833,True,1.0,green
https://www.carrefour.fr/p/artichaut-blanc-3276556231909?t=1892, Artichaut blanc ,https://media.carrefour.fr/medias/03b32f843521343bbd2e5491e61cb660/p_200x200/3276556231909-photosite-20160318-163702-0.jpg,France," 1,99 ", 1.99 € / U ,Artichaut,0.0,"Artichaut, appertisé, égoutté",0.64870931,0.4924037,0.28666546,0.3899826,0.026405411,0.0,1.844166481,False,1.0,green
https://www.carrefour.fr/p/artichaut-blanc-bio-carrefour-bio-3245411901585?t=1892, Artichaut blanc bio   BIO ,https://media.carrefour.fr/medias/013a302c577c32a4b68992ee1f2e5c37/p_200x200/3245411901585-photosite-20150616-083225-0.jpg,France," 2,59 ", 6.48 € / KG ,Artichaut,0.0,"Artichaut, appertisé, égoutté",0.64870931,0.4924037,0.28666546,0.3899826,0.026405411,0.0,1.844166481,True,1.0,green
https://www.carrefour.fr/p/artichaut-blanc-bio-3276558847795?t=1892, Artichaut Blanc Bio ,https://media.carrefour.fr/medias/98699a020b003a47a14f5562a279d3ca/p_200x200/3276558847795-photosite-20190828-051146-0.jpg,France," 2,49 ", 2.49 € / U ,Artichaut,0.0,"Artichaut, appertisé, égoutté",0.64870931,0.4924037,0.28666546,0.3899826,0.026405411,0.0,1.844166481,True,1.0,green
https://www.carrefour.fr/p/brocoli-carrefour-3523680490222?t=1892, Brocoli  ,https://media.carrefour.fr/medias/515fbb5d8b5d30d29ba1bc3673c99355/p_200x200/3523680490222-0.jpg,Origine ue et hors u.e.," 1,49 ", 1.49 € / U ,Brocoli,,"Brocoli, cru",0.5231282,0.0,0.0,0.27356253,0.025513693,0.080351049,0.902555472,False,2.0,jaune
https://www.carrefour.fr/p/brocoli-3276550195894?t=1892, Brocoli ,https://media.carrefour.fr/medias/ddfb1d368bcd3522a3d07561708f8348/p_200x200/3276550195894-photosite-20140327-213823-0.jpg,Espagne," 1,99 ", 1.99 € / U ,Brocoli,976.28,"Brocoli, cru",0.5231282,0.0,0.0,0.27356253,0.025513693,0.080351049,0.902555472,False,1.0,green
https://www.carrefour.fr/p/brocoli-bio-carrefour-bio-3276550311973?t=1892, Brocoli Bio   BIO ,https://media.carrefour.fr/medias/d8a9b1d4f583350fa4b6b5a2f3d362e5/p_200x200/3276550311973-0.jpg,France," 2,99 ", 2.99 € / U ,Brocoli,0.0,"Brocoli, cru",0.5231282,0.0,0.0,0.27356253,0.025513693,0.080351049,0.902555472,True,1.0,green
https://www.carrefour.fr/p/brocoli-bio-3270190010067?t=1892, Brocoli bio ,https://media.carrefour.fr/medias/d1b3a6ada6be335eaffa39ab6ae53416/p_200x200/3270190010067-photosite-20150616-083204-0.jpg,France," 3,29 ", 3.29 € / U ,Brocoli,0.0,"Brocoli, cru",0.5231282,0.0,0.0,0.27356253,0.025513693,0.080351049,0.902555472,True,2.0,jaune
https://www.carrefour.fr/p/brocoli-bio-3276550291985?t=1892, Brocoli Bio ,https://media.carrefour.fr/medias/960374bd1a6836e0847641405016ad02/p_200x200/3276550291985-photosite-20160318-163406-0.jpg,Espagne," 1,99 ", 1.99 € / U ,Brocoli,976.28,"Brocoli, cru",0.5231282,0.0,0.0,0.27356253,0.025513693,0.080351049,0.902555472,True,1.0,green
https://www.carrefour.fr/p/brocolis-agroecologie-filiere-qualite-carrefour-3523680441026?t=1892, Brocolis agroécologie FILIERE QUALITE  ,https://media.carrefour.fr/medias/bd0650048f783f6da2b05e2168baa07a/p_200x200/3523680441026-photosite-20211108-203909-0.jpg,France," 1,99 ", 1.99 € / U ,Brocoli,0.0,"Brocoli, cru",0.5231282,0.0,0.0,0.27356253,0.025513693,0.080351049,0.902555472,False,1.0,green
https://www.carrefour.fr/p/fenouil-bio-3276550371793?t=1892, Fenouil Bio ,https://media.carrefour.fr/medias/7614f0618af732628e18c598ef21d5f3/p_200x200/3276550371793-0.jpg,France," 3,09 ", 3.09 € / U ,Fenouil,0.0,"Fenouil, bouilli/cuit à l'eau",0.57003928,0.0,0.28002043,0.45321373,0.021237259,0.19993027,1.524440969,True,2.0,jaune
https://www.carrefour.fr/p/fenouil-vrac-3276552449278?t=1892, Fenouil vrac ,https://media.carrefour.fr/medias/09a5c174708832efa7eb0dfc451625a6/p_200x200/3276552449278-0.jpg,Italie," 1,04 ", 3.49 € / KG ,Fenouil,961.61,"Fenouil, bouilli/cuit à l'eau",0.57003928,0.0,0.28002043,0.45321373,0.021237259,0.19993027,1.524440969,False,1.0,green
https://www.carrefour.fr/p/haricot-vert-vrac-3000000039045?t=1892, Haricot vert vrac ,https://media.carrefour.fr/medias/75225cc12bce324198c772634f889d16/p_200x200/3000000039045-0.jpg,France," 2,49 ", 4.99 € / KG ,Haricot,0.0,"Haricot vert, appertisé, égoutté",0.12099958,0.28345838,0.27354838,0.35553257,0.029963177,0.011022624,1.074524711,False,4.0,red
https://www.carrefour.fr/p/haricots-verts-fins-eboutes-3276554569912?t=1892, Haricots verts fins éboutés ,https://media.carrefour.fr/medias/e2fa8a7efed63ad1ab35e8d024dddcc3/p_200x200/3276554569912-photosite-20160318-163555-0.jpg,Rwanda," 2,91 ", 5.82 € / KG ,Haricot,6046.97,"Haricots verts, purée",0.13390406,0.0,0.2604107,0.29653096,0.02364107,0.043163044,0.7576498340000001,False,2.0,jaune
https://www.carrefour.fr/p/haricots-verts-plats-bio-3276554629562?t=1892, Haricots verts plats Bio ,https://media.carrefour.fr/medias/fe1d7170c77b380fa766ea5e04aa6afe/p_200x200/3276554629562-photosite-20180828-160849-0.jpg,Espagne," 3,89 ", 7.78 € / KG ,Haricot,976.28,"Haricots verts, purée",0.13390406,0.0,0.2604107,0.29653096,0.02364107,0.043163044,0.7576498340000001,True,1.0,green
https://www.carrefour.fr/p/haricots-verts-fins-3523680277793?t=1892, Haricots verts fins ,https://media.carrefour.fr/medias/9a0df589a6cc35e1b6325b22ac4480d0/p_200x200/3523680277793-photosite-20150725-085333-0.jpg,France," 1,50 ", 3.00 € / KG ,Haricot,0.0,"Haricots verts, purée",0.13390406,0.0,0.2604107,0.29653096,0.02364107,0.043163044,0.7576498340000001,False,3.0,orange
https://www.carrefour.fr/p/haricots-verts-sans-fils-3523680340152?t=1892, Haricots verts sans fils ,https://media.carrefour.fr/medias/628bd908d79035449513abc0817becce/p_200x200/3523680340152-photosite-20161220-162231-0.jpg,Senegal," 2,50 ", 5.56 € / KG ,Haricot,3874.3,"Haricots verts, purée",0.13390406,0.0,0.2604107,0.29653096,0.02364107,0.043163044,0.7576498340000001,False,1.0,green
https://www.carrefour.fr/p/haricots-verts-fins-ami-3523680340169?t=1892, Haricots verts fins AMI ,https://media.carrefour.fr/medias/d1d0e924d02639e092813e8faaeaf1ae/p_200x200/3523680340169-photosite-20180327-163800-0.jpg,Origine pays tiers," 2,00 ", 8.00 € / KG ,Haricot,,"Haricots verts, purée",0.13390406,0.0,0.2604107,0.29653096,0.02364107,0.043163044,0.7576498340000001,False,1.0,green
https://www.carrefour.fr/p/haricot-vert-3523680382541?t=1892, Haricot vert ,https://media.carrefour.fr/medias/a76a7e1018073e0aa841d07cac0916fc/p_200x200/3523680382541-0.jpg,Origine c.e.e.," 2,50 ", 5.00 € / KG ,Haricot,,"Haricot vert, appertisé, égoutté",0.12099958,0.28345838,0.27354838,0.35553257,0.029963177,0.011022624,1.074524711,False,1.0,green
https://www.carrefour.fr/p/haricot-vert-bio-3270190211488?t=1892, Haricot vert bio ,https://media.carrefour.fr/medias/d12bf3e721843d4b8a41e2a13fac390d/p_200x200/3270190211488-photosite-20180828-160818-0.jpg,France," 4,99 ", 9.98 € / KG ,Haricot,0.0,"Haricot vert, appertisé, égoutté",0.12099958,0.28345838,0.27354838,0.35553257,0.029963177,0.011022624,1.074524711,True,1.0,green
https://www.carrefour.fr/p/haricot-vert-filiere-qualite-carrefour-3276558105260?t=1892, Haricot vert FILIERE QUALITE  ,https://media.carrefour.fr/medias/1d5e2fd20f5a3e1b88f29de658173a4d/p_200x200/3276558105260-photosite-20210817-181722-0.jpg,France," 2,79 ", 2.79 € / KG ,Haricot,0.0,"Haricot vert, appertisé, égoutté",0.12099958,0.28345838,0.27354838,0.35553257,0.029963177,0.011022624,1.074524711,False,1.0,green
https://www.carrefour.fr/p/jeunes-pousses-d-epinard-carrefour-3560071486945?t=1892, Jeunes pousses d'épinard  ,https://media.carrefour.fr/medias/d1b2bef9925f3382b98c3eae508662d6/p_200x200/3560071486945-0.jpg,France," 1,40 ", 14.00 € / KG ,Jeune,0.0,"Épinard, appertisé, égoutté",0.1086359,0.18181143,0.2454028299999999,0.30344412,0.022610621,0.011022624,0.8729275249999999,False,1.0,green
https://www.carrefour.fr/p/mini-fenouil-3276558241425?t=1892, Mini fenouil ,https://media.carrefour.fr/medias/1cb7ab17306b36d5b7de9482b6d04c35/p_200x200/3276558241425-photosite-20191105-163728-0.jpg,Origine pays tiers," 5,05 ", 33.67 € / KG ,Mini,,"Fenouil, bouilli/cuit à l'eau",0.57003928,0.0,0.28002043,0.45321373,0.021237259,0.19993027,1.524440969,False,1.0,green
https://www.carrefour.fr/p/pousse-de-soja-haricot-mungo-3523680347397?t=1892, Pousse de soja haricot Mungo ,https://media.carrefour.fr/medias/6057935aad4d3344806681e004bdc0ee/p_200x200/3523680347397-photosite-20170127-162042-0.jpg,France," 0,99 ", 4.95 € / KG ,Pousse,0.0,"Haricot mungo, cuit",0.20957188,0.0,0.11375999,0.056277327,0.027810721,0.011022624,0.4184425419999999,False,1.0,green
https://www.carrefour.fr/p/endive-3523680317390?t=1892, Endive ,https://media.carrefour.fr/medias/cb459cd3056d326ea1e1a7d767fe1620/p_200x200/3523680317390-photosite-20201013-172146-0.jpg,France," 1,99 ", 3.06 € / KG ,Endive,0.0,"Endive, crue",0.53775347,0.0,0.0,0.27356253,0.046360746,0.080351049,0.938027795,False,1.0,green
https://www.carrefour.fr/p/endive-vrac-3000000025932?t=1892, Endive vrac ,https://media.carrefour.fr/medias/9b9705c57b2231909d1e3d0a7871db9b/p_200x200/3000000025932-0.jpg,France," 0,85 ", 4.29 € / KG ,Endive,0.0,"Endive, crue",0.53775347,0.0,0.0,0.27356253,0.046360746,0.080351049,0.938027795,False,1.0,green
https://www.carrefour.fr/p/endives-jeune-pousse-3523680342675?t=1892, Endives jeune Pousse ,https://media.carrefour.fr/medias/f8123971908d37a1b12d20909d41508f/p_200x200/3523680342675-photosite-20190726-170427-0.jpg,France," 2,50 ", 8.33 € / KG ,Endive,0.0,"Endive, crue",0.53775347,0.0,0.0,0.27356253,0.046360746,0.080351049,0.938027795,False,1.0,green
https://www.carrefour.fr/p/endives-3523680393660?t=1892, Endives ,https://media.carrefour.fr/medias/b0ad20aa84b43327b4aa655aa78f3d7a/p_200x200/3523680393660-photosite-20180427-160816-0.jpg,France," 3,79 ", 3.79 € / U ,Endive,0.0,"Endive, crue",0.53775347,0.0,0.0,0.27356253,0.046360746,0.080351049,0.938027795,False,1.0,green
https://www.carrefour.fr/p/endives-speciale-salade-perle-du-nord-3276550313199?t=1892, Endives spéciale salade PERLE DU NORD ,https://media.carrefour.fr/medias/2bfb4f182ca13cd3817ffe2b488a9700/p_200x200/3276550313199-photosite-20180911-161305-0.jpg,France," 3,19 ", 5.32 € / KG ,Endive,0.0,"Endive, crue",0.53775347,0.0,0.0,0.27356253,0.046360746,0.080351049,0.938027795,False,1.0,green
https://www.carrefour.fr/p/endives-carmines-rouges-3276554541239?t=1892, Endives Carmines rouges ,https://media.carrefour.fr/medias/396b23d0072d3a8abcb233b95748e12f/p_200x200/3276554541239-photosite-20150616-082845-0.jpg,France," 3,79 ", 12.63 € / KG ,Endive,0.0,"Endive, crue",0.53775347,0.0,0.0,0.27356253,0.046360746,0.080351049,0.938027795,False,1.0,green
https://www.carrefour.fr/p/endives-blanches-reflets-de-france-3276555403758?t=1892, Endives blanches  REFLETS DE FRANCE ,https://media.carrefour.fr/medias/47a96afb24683fbe9440f7123968fccf/p_200x200/3276555403758-photosite-20140327-210608-0.jpg,France," 2,99 ", 5.98 € / KG ,Endive,0.0,"Endive, crue",0.53775347,0.0,0.0,0.27356253,0.046360746,0.080351049,0.938027795,False,1.0,green
https://www.carrefour.fr/p/endives-bio-carrefour-bio-3276559354711?t=1892, Endives Bio   BIO ,https://media.carrefour.fr/medias/af40bde328243092b4c7c49faff21c5d/p_200x200/3276559354711-0.jpg,France," 2,89 ", 9.63 € / KG ,Endive,0.0,"Endive, crue",0.53775347,0.0,0.0,0.27356253,0.046360746,0.080351049,0.938027795,True,1.0,green
https://www.carrefour.fr/p/endives-rouges-3276559577820?t=1892, Endives rouges ,https://media.carrefour.fr/medias/483bfc2cae9b32569347a16a17432bb3/p_200x200/3276559577820-photosite-20150616-083455-0.jpg,France," 2,99 ", 7.48 € / KG ,Endive,0.0,"Endive, crue",0.53775347,0.0,0.0,0.27356253,0.046360746,0.080351049,0.938027795,False,1.0,green
https://www.carrefour.fr/p/endives-jeunes-pousses-3276554541338?t=1892, Endives jeunes pousses ,https://media.carrefour.fr/medias/a72efe162f3a3b229ea7ab54a6753fab/p_200x200/3276554541338-0.jpg,France," 2,19 ", 7.30 € / KG ,Endive,0.0,"Endive, crue",0.53775347,0.0,0.0,0.27356253,0.046360746,0.080351049,0.938027795,False,1.0,green
https://www.carrefour.fr/p/mache-sans-residu-de-pesticide-3523680397712?t=1892, Mâche sans résidu de pesticide ,https://media.carrefour.fr/medias/4e30b104797e3b1f9b90d8f55e8d8c79/p_200x200/3523680397712-photosite-20190517-173912-0.jpg,France," 1,65 ", 13.20 € / KG ,Mâche,0.0,"Mâche, crue",0.30023238,0.0,0.0,0.36475005,0.061814329,0.21426946,0.941066219,False,2.0,jaune
https://www.carrefour.fr/p/pousses-d-epinard-bio-3523680367074?t=1892, Pousses d'épinard Bio ,https://media.carrefour.fr/medias/38c96ee76c093967a6b978a95262299a/p_200x200/3523680367074-photosite-20200201-004809-1.jpg,France," 2,19 ", 21.90 € / KG ,Pousse,0.0,"Épinard, appertisé, égoutté",0.1086359,0.18181143,0.2454028299999999,0.30344412,0.022610621,0.011022624,0.8729275249999999,True,1.0,green
https://www.carrefour.fr/p/pousses-d-haricot-mungo-3276559597521?t=1892, Pousses d'haricot Mungo ,https://media.carrefour.fr/medias/4122cd493f993cccaf2fc997e24d9e98/p_200x200/3276559597521-photosite-20150617-162635-0.jpg,France," 1,50 ", 3.75 € / KG ,Pousse,0.0,"Haricot mungo, cuit",0.20957188,0.0,0.11375999,0.056277327,0.027810721,0.011022624,0.4184425419999999,False,2.0,jaune
https://www.carrefour.fr/p/roquette-3523680495180?t=1892, Roquette ,https://media.carrefour.fr/medias/7bc6e3d5721f35149badf22b570156ad/p_200x200/3523680495180-0.jpg,Origine c.e.e.," 1,29 ", 10.32 € / KG ,Roquette,,"Roquette, crue",0.30023238,0.0,0.0,0.36475005,0.061814329,0.21426946,0.941066219,False,1.0,green
https://www.carrefour.fr/p/salade-laitue-romaine-3523680381599?t=1892, Salade laitue Romaine ,https://media.carrefour.fr/medias/eb825bad399e3e7f843e999aa5c8a389/p_200x200/3523680381599-photosite-20201124-171256-0.jpg,Espagne," 0,99 ", 0.99 € / U ,Salade,976.28,"Laitue romaine, crue",0.30023238,0.0,0.0,0.36475005,0.061814329,0.21426946,0.941066219,False,1.0,green
https://www.carrefour.fr/p/salade-scarole-3000001040378?t=1892, Salade Scarole ,https://media.carrefour.fr/medias/93cf5d1b7072351fbc445fd2aceee995/p_200x200/3000001040378-photosite-20150617-162602-0.jpg,Espagne," 3,09 ", 3.09 € / U ,Salade,976.28,"Scarole, crue",0.30023238,0.0,0.0,0.36475005,0.20793674,0.22539229,1.09831146,False,1.0,green
https://www.carrefour.fr/p/salade-laitue-verte-3276555741461?t=1892, Salade Laitue verte ,https://media.carrefour.fr/medias/98097499f8a03b29aaefedf4bf8700bd/p_200x200/3276555741461-photosite-20160318-163811-0.jpg,France," 1,39 ", 1.39 € / U ,Salade,0.0,"Laitue, crue",0.30023238,0.0,0.0,0.36475005,0.061814329,0.21426946,0.941066219,False,1.0,green
https://www.carrefour.fr/p/salade-laitue-iceberg-3276559823125?t=1892, Salade Laitue Iceberg ,https://media.carrefour.fr/medias/fac61cfcd0ae3483b38b4dfaccba0f0b/p_200x200/3276559823125-photosite-20150617-162355-0.jpg,Espagne," 1,29 ", 1.29 € / U ,Salade,976.28,"Laitue iceberg, crue",0.2599468,0.0,0.0,0.36475005,0.061814329,0.21426946,0.900780639,False,1.0,green
https://www.carrefour.fr/p/salade-roquette-3523680444171?t=1892, Salade Roquette ,https://media.carrefour.fr/medias/ae5ad7ed6ea43b18b723aef617be7b1f/p_200x200/3523680444171-photosite-20210817-181720-0.jpg,France," 0,99 ", 7.92 € / KG ,Salade,0.0,"Roquette, crue",0.30023238,0.0,0.0,0.36475005,0.061814329,0.21426946,0.941066219,False,1.0,green
https://www.carrefour.fr/p/salade-mache-3523680444195?t=1892, Salade mâche ,https://media.carrefour.fr/medias/ff23fc0b0eca3288b2e4dbeaa842bd39/p_200x200/3523680444195-photosite-20210318-104358-1.jpg,France," 1,29 ", 10.32 € / KG ,Salade,0.0,"Mâche, crue",0.30023238,0.0,0.0,0.36475005,0.061814329,0.21426946,0.941066219,False,1.0,green
https://www.carrefour.fr/p/salade-roquette-3523680444454?t=1892, Salade  Roquette ,https://media.carrefour.fr/medias/db91fa0296a13e6aadcd123ce6396093/p_200x200/3523680444454-photosite-20210817-181711-0.jpg,Union europeenne," 0,99 ", 7.92 € / KG ,Salade,,"Roquette, crue",0.30023238,0.0,0.0,0.36475005,0.061814329,0.21426946,0.941066219,False,1.0,green
https://www.carrefour.fr/p/salade-pousses-d-epinards-3276555374676?t=1892, Salade pousses d'épinards ,https://media.carrefour.fr/medias/7c8865c1081a3f35800fd9db6b0364f9/p_200x200/3276555374676-photosite-20140327-174952-0.jpg,France," 1,29 ", 10.32 € / KG ,Salade,0.0,"Épinard, appertisé, égoutté",0.1086359,0.18181143,0.2454028299999999,0.30344412,0.022610621,0.011022624,0.8729275249999999,False,1.0,green
https://www.carrefour.fr/p/salade-coeur-de-laitue-carrefour-3270190021865?t=1892, Salade cœur de laitue  ,https://media.carrefour.fr/medias/57ddd57b780735e5a276151cddd9806f/p_200x200/3270190021865-photosite-20200724-070053-1.jpg,France," 1,85 ", 9.25 € / KG ,Salade,0.0,"Laitue, crue",0.30023238,0.0,0.0,0.36475005,0.061814329,0.21426946,0.941066219,False,1.0,green
https://www.carrefour.fr/p/salade-mache-carrefour-3560070384181?t=1892, Salade mâche  ,https://media.carrefour.fr/medias/af1452cd4e4c3290a34df005ae5dbf6f/p_200x200/3560070384181-photosite-20180619-161559-0.jpg,France," 2,25 ", 11.25 € / KG ,Salade,0.0,"Mâche, crue",0.30023238,0.0,0.0,0.36475005,0.061814329,0.21426946,0.941066219,False,1.0,green
https://www.carrefour.fr/p/salade-mache-bio-3523680306882?t=1892, Salade mâche bio ,https://media.carrefour.fr/medias/82a26b9dbb083158a449dd1056c409d4/p_200x200/3523680306882-photosite-20180427-161059-0.jpg,France," 2,19 ", 21.90 € / KG ,Salade,0.0,"Mâche, crue",0.30023238,0.0,0.0,0.36475005,0.061814329,0.21426946,0.941066219,True,1.0,green
https://www.carrefour.fr/p/salade-bio-jeunes-pousses-d-epinard-carrefour-bio-3523680438217?t=1892, Salade Bio jeunes pousses d'épinard  BIO ,https://media.carrefour.fr/medias/26f2716d24ab3db2bc222cee827b5350/p_200x200/3523680438217-photosite-20210720-183826-0.jpg,France," 1,99 ", 19.90 € / KG ,Salade,0.0,"Épinard, appertisé, égoutté",0.1086359,0.18181143,0.2454028299999999,0.30344412,0.022610621,0.011022624,0.8729275249999999,True,1.0,green
https://www.carrefour.fr/p/salade-mache-3276554587947?t=1892, Salade Mâche ,https://media.carrefour.fr/medias/bb1121d463af33fa8b5373dd9edaed7a/p_200x200/3276554587947-photosite-20140327-172627-0.jpg,France," 0,99 ", 6.60 € / KG ,Salade,0.0,"Mâche, crue",0.30023238,0.0,0.0,0.36475005,0.061814329,0.21426946,0.941066219,False,1.0,green
https://www.carrefour.fr/p/salade-mache-roquette-betterave-florette-3280220212156?t=1892, Salade Mâche Roquette Betterave FLORETTE ,https://media.carrefour.fr/medias/8ce0b80029ca391e84cbc28f3d3fbc8a/p_200x200/03280220212156-a1r1-s01.jpg,France," 2,19 ", 21.90 € / KG ,Salade,0.0,"Roquette, crue",0.30023238,0.0,0.0,0.36475005,0.061814329,0.21426946,0.941066219,False,1.0,green
https://www.carrefour.fr/p/salade-mache-florette-3280220892006?t=1892, Salade Mâche FLORETTE ,https://media.carrefour.fr/medias/fc22980d986f3f2f80ad2c54ead0a417/p_200x200/03280220892006-a1r1-s01.jpg,France," 2,10 ", 16.80 € / KG ,Salade,0.0,"Mâche, crue",0.30023238,0.0,0.0,0.36475005,0.061814329,0.21426946,0.941066219,False,1.0,green
