Name,Image Link,Origin,Price,Unit Price
Vrai Yaourt Nature Bio 4X125G,,,"1,62 €","(3,24 € / kilo)"
,,,,
L'Œuf de Nos Villages Œufs frais Bio x10,,,"5,99 €","(0,60 € / article)"
Lactel BIO demi-écrémé bouteille 6x1L,,,"8,82 €","(1,47 € / litre)"
,,,,
Casino Bio Mozza Bufala Aop 125G Cobio,,,,
Casino Bio Pétales aux lentilles - Biscuits apéritifs - Nature - Biologique - 60g,,,,
Casino Bio Jus D'Orange - 100% Pur Jus - Biologique - 1L,,,,
Vrai Yaourt au lait de brebis nature Bio 2x125g,,,"1,93 €","(7,72 € / kilo)"
,,,,
Vrai Fromage Blanc Nature 36% de Matière Grasse Bio 500g,,,"2,84 €","(5,68 € / kilo)"
,,,,
Vrai Yaourt au lait de chèvre nature bio 2x125g,,,"1,87 €","(7,48 € / kilo)"
,,,,
Max Havelaar Banane Bio x5,,Pays d’origine Équateur,"1,99 €","(0,40 € / article)"
Casino Bio Œufs - Moyen - Biologique - x10,,,"4,43 €","(0,44 € / article)"
Concombre Bio 1 unité,,Pays d’origine Espagne,"1,99 €","(1,99 € / article)"
Casino Bio Tomates concassées - En dés - Biologique - 400g,,,"0,99 €","(2,48 € / kilo)"
Bouquet Bio Tomates cerise Bio 250g,,Pays d’origine Italie,"2,99 €","(11,96 € / kilo)"
Casino Banane Bio Max Havelaar 5 fruits C2,,Pays d’origine République dominicaine,"2,69 €","(3,84 € / kilo)"
Casino Bio Lait - Demi-écrémé - Biologique - 6x1l,,,"7,14 €","(1,19 € / litre)"
Casino Bio Galettes de blé noir - x4 - Biologique - 200g,,,"2,24 €","(10,98 € / kilo)"
Casino Bio Œufs - Moyen - Biologique - x6,,,"2,85 €","(0,48 € / article)"
Bio Pomme bicolore x4,,Pays d’origine France,"2,99 €","(0,75 € / article)"
Lotus Coton Tige Bio Sachet X160,,,"1,01 €","(1,01 € / article)"
Ail Blanc Bio 3 têtes,,Pays d’origine Espagne,"2,99 €","(1,00 € / article)"
Bjorg Lait d'amande sans sucres bio 1L,,,"2,17 €","(2,17 € / litre)"
C'Est Qui Le Patron?! Beurre Doux Bio 250G,,,"3,17 €","(12,68 € / kilo)"
Casino Courgette Bio 1kg,,Pays d’origine France,"5,49 €","(5,49 € / kilo)"
Casino Bio Maïs croquant bio 1/4 2x150g,,,"1,43 €","(5,11 € / kilo)"
Casino Bio Riz basmati - Biologique - 500g,,,"1,49 €","(2,98 € / kilo)"
La Boulangère Pain de mie complet Bio 500g,,,"2,60 €","(5,20 € / kilo)"
Casino Bio Pâte brisée - Pur beurre - Biologique - 230g,,,"1,47 €","(6,39 € / kilo)"
Bjorg Boisson Avoine Bio 1L,,,"2,33 €","(2,33 € / litre)"
Casino Bio Farine de blé - Biologique - 1kg,,,"1,66 €","(1,66 € / kilo)"
Casino Bio Jus De Pomme - 100% Pur Jus - Biologique - 1L,,,"1,79 €","(1,79 € / litre)"
Casino Bio Pomme Bicolore 4 Fruits C2,,Pays d’origine France,"3,49 €","(2,68 € / kilo)"
Bjorg Boisson soja nature sans sucres bio 1L,,,"1,96 €","(1,96 € / litre)"
Casino Bio Haricots verts - Très fins - Biologique - 600g,,,"1,75 €","(2,92 € / kilo)"
"Pomme Juliette Bio X4, Catégorie 2",,Pays d’origine France,"3,49 €","(0,87 € / article)"
Casino Bio Yaourt nature - 0% m.g. - Biologique - 4 pots - 4x125g,,,"0,99 €","(1,98 € / kilo)"
Casino Bio Boisson - Avoine - Brique - Biologique - 1l,,,"1,97 €","(1,97 € / litre)"
Les 2 vaches Yaourt vanille brassé bio 4x115 g,,,"2,44 €","(5,30 € / kilo)"
Loué Oeuf Fermier Gros Bio Boîte X6,,,"4,56 €","(0,76 € / article)"
"Pomme de Terre Ile de Batz Bio 1,5kg",,Pays d’origine France,"5,99 €","(3,99 € / kilo)"
