Name,Image Link,Origin,Price,Unit Price
Max Havelaar Banane Bio x5,,Pays d’origine Équateur,"1,99 €","(0,40 € / article)"
Concombre Bio 1 unité,,Pays d’origine Espagne,"1,99 €","(1,99 € / article)"
Bouquet Bio Tomates cerise Bio 250g,,Pays d’origine Italie,"2,99 €","(11,96 € / kilo)"
Casino Banane Bio Max Havelaar 5 fruits C2,,Pays d’origine République dominicaine,"2,69 €","(3,84 € / kilo)"
Bio Pomme bicolore x4,,Pays d’origine France,"2,99 €","(0,75 € / article)"
Ail Blanc Bio 3 têtes,,Pays d’origine Espagne,"2,99 €","(1,00 € / article)"
Casino Courgette Bio 1kg,,Pays d’origine France,"5,49 €","(5,49 € / kilo)"
Casino Bio Pomme Bicolore 4 Fruits C2,,Pays d’origine France,"3,49 €","(2,68 € / kilo)"
"Pomme Juliette Bio X4, Catégorie 2",,Pays d’origine France,"3,49 €","(0,87 € / article)"
"Pomme de Terre Ile de Batz Bio 1,5kg",,Pays d’origine France,"5,99 €","(3,99 € / kilo)"
Casino Bio Oignon Jaune 500g C2,,Pays d’origine France,"2,79 €","(5,58 € / kilo)"
"Bio Pomme de terre Vapeur et Salade 1,5kg",,Pays d’origine France,"4,99 €","(3,33 € / kilo)"
"Bio Pomme de terre bio four purée et potage 1,5kg",,Pays d’origine France,"4,99 €","(3,33 € / kilo)"
Casino bio aubergine C2 500g,,Pays d’origine Espagne,"2,99 €","(5,98 € / kilo)"
"Kultiv Carotte Bio 1,5 Kg",,Pays d’origine France,"4,69 €","(3,13 € / kilo)"
Avocat Bio 2 pièces,,Pays d’origine Maroc,"4,49 €","(2,25 € / article)"
Casino Bio Raisin secs - Biologiques - 250g,,,"2,32 €","(9,28 € / kilo)"
Casino Bio Pomme Bicolore 8 Fruits 115/135 C2,,Pays d’origine France,"4,99 €","(4,99 € / kilo)"
Patate Douce Bio 500 g,,Pays d’origine France,"3,99 €","(7,98 € / kilo)"
Casino Bio Cerneaux Noix 100G Co Bio,,,"2,45 €","(24,50 € / kilo)"
Casino Bio Echalote C2 250g,,Pays d’origine France,"2,29 €","(9,16 € / kilo)"
Casino Bio Amandes grillées - Biologique - 100g,,,"2,83 €","(28,30 € / kilo)"
Bio Champignon Blond 200G,,Pays d’origine France,"2,49 €","(12,45 € / kilo)"
Bio poivrons 250g,,Pays d’origine Espagne,"2,99 €","(11,96 € / kilo)"
Poivrons Mixte Bio 500g,,Pays d’origine Espagne,"5,79 €","(11,58 € / kilo)"
Myrtilles Bio Cat 2 125g,,Pays d’origine France,"3,99 €","(31,92 € / kilo)"
Casino Bio Champignon Blanc 200Gr C0,,Pays d’origine Pays-Bas,"2,99 €","(14,95 € / kilo)"
Oignons Rouges Bio Cat 2  500g,,Pays d’origine France,"3,49 €","(6,98 € / kilo)"
Maitre Prunille Cerneaux De Noix Bio 125G,,Pays d’origine France,"3,59 €","(28,72 € / kilo)"
Bonduelle feuille de chêne bio 100g,,Pays d’origine France,"2,55 €","(25,50 € / kilo)"
Oignon Jaune Bio 500G,,Pays d’origine Pays-Bas,"2,99 €","(5,98 € / kilo)"
Casino Mâche Bio Sachet 125g,,Pays d’origine France,"3,05 €","(24,40 € / kilo)"
Bio Ananas Origine Bénin,,Pays d’origine Bénin,"3,99 €","(3,99 € / article)"
Biothentic Graines de Chia 250g,,,"5,48 €","(21,92 € / kilo)"
Casino Bio Pruneaux d'Agen - Biologique - 250g,,,"3,25 €","(13,00 € / kilo)"
Casino Bio Abricots secs - Biologique - 250g,,,"3,89 €","(15,56 € / kilo)"
Champignons Shiitake Bio 100G,,Pays d’origine France,"1,99 €","(19,90 € / kilo)"
Bio Gingembre Bouquet Barquette 200g,,Pays d’origine Chine,"3,49 €","(17,45 € / kilo)"
Bonduelle iceberg bio 175g,,Pays d’origine France,"2,55 €","(14,57 € / kilo)"
Pot de Basilic Bio XL,,Pays d’origine France,"3,00 €","(3,00 € / article)"
Casino Jeunes Pousses Bio Sachet 125G,,Pays d’origine France,"3,05 €","(24,40 € / kilo)"
Casino Bio Noix de Cajou - Biologique - 100g,,,"3,23 €","(32,30 € / kilo)"
Bonduelle mache bio 80g,,Pays d’origine France,"2,55 €","(31,88 € / kilo)"
Casino Bio Dattes - Deglet nour - Dénoyautées - Biologique - 250g,,,"3,10 €","(12,40 € / kilo)"
Bio Champignon Brun 250G,,Pays d’origine France,"3,99 €","(15,96 € / kilo)"
Casino Bio Amandes décortiquées sans sel 200g,,,"5,90 €","(29,50 € / kilo)"
Casino Bio Cranberries 100G Co Bio,,,"3,25 €","(32,50 € / kilo)"
Ciboulette Bio En Pot,,Pays d’origine France,"2,00 €","(2,00 € / article)"
Casino Bio Pistaches - Biologique - 100G,,,"3,25 €","(32,50 € / kilo)"
Bio 3 Graines Grillees Sans Sel 125G,,Pays d’origine France,"3,85 €","(30,80 € / kilo)"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
