lien du produit,Nom,Image,Origine,Prix,Prix à l'unité,Poids
https://www.carrefour.fr/p/avocat-bio-carrefour-bio-3523680466173?t=1892, Avocat Bio CARREFOUR BIO ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, ESPAGNE ," 1,69 ", 1.69 € / U ,
https://www.carrefour.fr/p/avocat-hass-bio-3523680432437?t=1892, Avocat Hass Bio ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, ESPAGNE ," 1,69 ", 1.69 € / U ,
https://www.carrefour.fr/p/avocat-hass-bio-3523680436213?t=1892, Avocat Hass Bio ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, KENYA ," 1,59 ", 1.59 € / U ,
https://www.carrefour.fr/p/asperges-moyennes-violettes-vrac-3000000037171?t=1892, Asperges moyennes violettes vrac ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, FRANCE ," 15,99 ", 15.99 € / KG ,
https://www.carrefour.fr/p/asperges-violettes-3000054047393?t=1892, Asperges violettes ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, FRANCE ," 5,90 ", 11.80 € / KG ,
https://www.carrefour.fr/p/asperges-violettes-3000055037140?t=1892, Asperges violettes ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, FRANCE ," 6,90 ", 6.90 € / KG ,
https://www.carrefour.fr/p/asperges-violettes-3276554553225?t=1892, Asperges violettes ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, FRANCE ," 7,99 ", 7.99 € / KG ,
https://www.carrefour.fr/p/asperges-violettes-3276554553270?t=1892, Asperges violettes ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, FRANCE ," 4,99 ", 9.98 € / KG ,
https://www.carrefour.fr/p/asperges-vertes-3276554553539?t=1892, Asperges vertes ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, FRANCE ," 5,99 ", 11.98 € / KG ,
https://www.carrefour.fr/p/asperges-vertes-3276554554574?t=1892, Asperges vertes ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, ORIGINE C.E.E. ," 3,25 ", 6.50 € / KG ,
https://www.carrefour.fr/p/asperges-moyennes-vertes-3276554554598?t=1892, Asperges moyennes vertes ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, ESPAGNE ," 3,00 ", 6.00 € / KG ,
https://www.carrefour.fr/p/asperges-vertes-3276555376397?t=1892, Asperges vertes ,https://media.carrefour.fr/medias/6605ad93930233cc99c88932c519cdf6/p_200x200/3523680430952-photosite-20190830-142649-0.jpg, PEROU ," 5,99 ", 14.26 € / KG ,
