lien du produit,Nom,Image,Origine,Prix,Prix à l'unité,Poids
https://www.carrefour.fr/p/avocat-bio-carrefour-bio-3523680466173?t=1892, Avocat Bio CARREFOUR BIO ,https://media.carrefour.fr/medias/c7d433b8d8b4375c9e3ccee8c25cce5b/p_200x200/3523680466173-0.jpg, ESPAGNE ," 1,69 ", 1.69 € / U ,
https://www.carrefour.fr/p/avocat-hass-bio-3523680432437?t=1892, Avocat Hass Bio ,https://media.carrefour.fr/medias/fbf517249c3639e1bfbe72a8e127e652/p_200x200/3523680432437-photosite-20211018-132953-0.jpg, ESPAGNE ," 1,69 ", 1.69 € / U ,
https://www.carrefour.fr/p/avocat-3000001037576?t=1892, Avocat ,https://media.carrefour.fr/medias/5e7a6105d1ec394999f942fd8003aa4f/p_200x200/3000001037576-photosite-20180614-161156-0.jpg, ISRAEL ," 1,19 ", 1.19 € / U ,
https://www.carrefour.fr/p/asperges-violette-bio-carrefour-bio-3523680426184?t=1892, Asperges violette Bio CARREFOUR BIO ,https://media.carrefour.fr/medias/fdea62a7ce863ec68fe8ba90f0464f7a/p_200x200/3523680426184-0.jpg, FRANCE ," 6,99 ", 13.98 € / KG ,
https://www.carrefour.fr/p/asperges-verte-bio-carrefour-bio-3523680426191?t=1892, Asperges verte Bio CARREFOUR BIO ,https://media.carrefour.fr/medias/12c2e494c77c3c7992145e1f31500f18/p_200x200/3523680426191-photosite-20191025-131800-0.jpg, FRANCE ," 6,99 ", 17.48 € / KG ,
https://www.carrefour.fr/p/asperges-moyennes-violettes-vrac-3000000037171?t=1892, Asperges moyennes violettes vrac ,https://media.carrefour.fr/medias/97fa78321ec7394090e94da20c0f7fe1/p_200x200/3000000037171-0.jpg, FRANCE ," 15,99 ", 15.99 € / KG ,
https://www.carrefour.fr/p/asperges-violettes-3000054047393?t=1892, Asperges violettes ,https://media.carrefour.fr/medias/a8af0ea8d0a83b7694f5c12b91a79766/p_200x200/3000054047393-photosite-20140416-174852-0.jpg, FRANCE ," 5,90 ", 11.80 € / KG ,
https://www.carrefour.fr/p/asperges-vertes-3276554553539?t=1892, Asperges vertes ,https://media.carrefour.fr/medias/df0f42ae86353cd38415db9e481ab6ab/p_200x200/3276554553539-photosite-20140725-121818-0.jpg, FRANCE ," 5,99 ", 11.98 € / KG ,
https://www.carrefour.fr/p/asperges-moyennes-vertes-3276554554598?t=1892, Asperges moyennes vertes ,https://media.carrefour.fr/medias/4fb2c34bdf363817b3801e65665f4c30/p_200x200/3276554554598-photosite-20140327-210631-0.jpg, ESPAGNE ," 3,00 ", 6.00 € / KG ,
https://www.carrefour.fr/p/asperges-blanches-ou-violettes-3276558063089?t=1892, Asperges blanches ou violettes ,https://media.carrefour.fr/medias/c05a037f66133d3a874ba52fb70c6cd9/p_200x200/3276558063089-photosite-20150616-083249-0.jpg, FRANCE ," 3,00 ", 6.00 € / KG ,
https://www.carrefour.fr/p/asperges-pointes-vertes-3276559597507?t=1892, Asperges pointes vertes ,https://media.carrefour.fr/medias/0674eac685be3f3f84b617852b097284/p_200x200/3276559597507-photosite-20150616-083316-0.jpg, PEROU ," 5,99 ", 29.95 € / KG ,
https://www.carrefour.fr/p/asperge-verte-reflet-de-france-3523680365179?t=1892, Asperge verte REFLET DE FRANCE ,https://media.carrefour.fr/medias/7c666346afd23214a4e183ded6073862/p_200x200/3523680365179-photosite-20210720-183946-0.jpg, FRANCE ," 5,99 ", 11.98 € / KG ,
https://www.carrefour.fr/p/asperge-3276550184256?t=1892, Asperge ,https://media.carrefour.fr/medias/7d4cb44fd8e5382688ac603c7f5f1c90/p_200x200/3276550184256-0.jpg, FRANCE ," 3,00 ", 6.00 € / KG ,
https://www.carrefour.fr/p/asperge-blanc-violet-vrac-bio-3276552719340?t=1892, Asperge blanc violet vrac Bio ,https://media.carrefour.fr/medias/f018873a997c3e24bd9d1e4b484b289f/p_200x200/3276552719340-photosite-20200918-172643-0.jpg, FRANCE ," 9,99 ", 9.99 € / KG ,
https://www.carrefour.fr/p/asperges-vertes-bio-3523680426092?t=1892, Asperges vertes Bio ,https://media.carrefour.fr/medias/cba74724880c3dce9b07bca21b17c1c8/p_200x200/3523680426092-photosite-20190828-051113-0.jpg, FRANCE ," 7,49 ", 14.98 € / KG ,
https://www.carrefour.fr/p/artichaut-blanc-3276556231909?t=1892, Artichaut blanc ,https://media.carrefour.fr/medias/03b32f843521343bbd2e5491e61cb660/p_200x200/3276556231909-photosite-20160318-163702-0.jpg, FRANCE ," 1,99 ", 1.99 € / U ,
https://www.carrefour.fr/p/artichaut-blanc-bio-carrefour-bio-3245411901585?t=1892, Artichaut blanc bio  CARREFOUR BIO ,https://media.carrefour.fr/medias/013a302c577c32a4b68992ee1f2e5c37/p_200x200/3245411901585-photosite-20150616-083225-0.jpg, FRANCE ," 2,59 ", 6.48 € / KG ,
https://www.carrefour.fr/p/artichaut-blanc-bio-3276558847795?t=1892, Artichaut Blanc Bio ,https://media.carrefour.fr/medias/98699a020b003a47a14f5562a279d3ca/p_200x200/3276558847795-photosite-20190828-051146-0.jpg, FRANCE ," 2,49 ", 2.49 € / U ,
https://www.carrefour.fr/p/brocoli-carrefour-3523680490222?t=1892, Brocoli CARREFOUR ,https://media.carrefour.fr/medias/515fbb5d8b5d30d29ba1bc3673c99355/p_200x200/3523680490222-0.jpg, origine UE et Hors U.E. ," 1,49 ", 1.49 € / U ,
https://www.carrefour.fr/p/brocoli-3276550195894?t=1892, Brocoli ,https://media.carrefour.fr/medias/ddfb1d368bcd3522a3d07561708f8348/p_200x200/3276550195894-photosite-20140327-213823-0.jpg, ESPAGNE ," 1,99 ", 1.99 € / U ,
https://www.carrefour.fr/p/brocoli-bio-carrefour-bio-3276550311973?t=1892, Brocoli Bio CARREFOUR  BIO ,https://media.carrefour.fr/medias/d8a9b1d4f583350fa4b6b5a2f3d362e5/p_200x200/3276550311973-0.jpg, FRANCE ," 2,99 ", 2.99 € / U ,
https://www.carrefour.fr/p/brocoli-bio-3270190010067?t=1892, Brocoli bio ,https://media.carrefour.fr/medias/d1b3a6ada6be335eaffa39ab6ae53416/p_200x200/3270190010067-photosite-20150616-083204-0.jpg, FRANCE ," 3,29 ", 3.29 € / U ,
